"ID","gwgroupid","status"
21430,43606000,"JUNIOR PARTNER"
22173,43606000,"JUNIOR PARTNER"
22536,43606000,"JUNIOR PARTNER"
23320,43606000,"JUNIOR PARTNER"
22358,43606000,"JUNIOR PARTNER"
22641,43606000,"JUNIOR PARTNER"
21826,43606000,"JUNIOR PARTNER"
22643,43606000,"JUNIOR PARTNER"
23099,43606000,"JUNIOR PARTNER"
22640,43606000,"JUNIOR PARTNER"
21827,43606000,"JUNIOR PARTNER"
23214,43606000,"JUNIOR PARTNER"
23450,43606000,"JUNIOR PARTNER"
22642,43606000,"JUNIOR PARTNER"
22359,43606000,"JUNIOR PARTNER"
21831,43606000,"JUNIOR PARTNER"
22360,43606000,"JUNIOR PARTNER"
23877,43606000,"JUNIOR PARTNER"
21828,43606000,"JUNIOR PARTNER"
21264,43606000,"JUNIOR PARTNER"
22637,43606000,"JUNIOR PARTNER"
20288,43701000,"JUNIOR PARTNER"
20287,43701000,"JUNIOR PARTNER"
20208,43701000,"JUNIOR PARTNER"
20206,43701000,"JUNIOR PARTNER"
20370,43701000,"JUNIOR PARTNER"
20207,43701000,"JUNIOR PARTNER"
20371,43701000,"JUNIOR PARTNER"
20289,43701000,"JUNIOR PARTNER"
20375,43703000,"SENIOR PARTNER"
20051,43703000,"SENIOR PARTNER"
20050,43703000,"SENIOR PARTNER"
20047,43703000,"SENIOR PARTNER"
20634,43703000,"SENIOR PARTNER"
20547,43703000,"SENIOR PARTNER"
20374,43703000,"SENIOR PARTNER"
20212,43703000,"SENIOR PARTNER"
20635,43703000,"SENIOR PARTNER"
20546,43703000,"SENIOR PARTNER"
20633,43703000,"SENIOR PARTNER"
20372,43703000,"SENIOR PARTNER"
20291,43703000,"SENIOR PARTNER"
20132,43703000,"SENIOR PARTNER"
20213,43703000,"SENIOR PARTNER"
20128,43703000,"SENIOR PARTNER"
19970,43703000,"SENIOR PARTNER"
20131,43703000,"SENIOR PARTNER"
20290,43703000,"SENIOR PARTNER"
20129,43703000,"SENIOR PARTNER"
19893,43703000,"SENIOR PARTNER"
20048,43703000,"SENIOR PARTNER"
19891,43703000,"SENIOR PARTNER"
20544,43703000,"SENIOR PARTNER"
19969,43703000,"SENIOR PARTNER"
19973,43703000,"SENIOR PARTNER"
20457,43703000,"SENIOR PARTNER"
20292,43703000,"SENIOR PARTNER"
19972,43703000,"SENIOR PARTNER"
19814,43703000,"SENIOR PARTNER"
20373,43703000,"SENIOR PARTNER"
19815,43703000,"SENIOR PARTNER"
20545,43703000,"SENIOR PARTNER"
20458,43703000,"SENIOR PARTNER"
20209,43703000,"SENIOR PARTNER"
20130,43703000,"SENIOR PARTNER"
19816,43703000,"SENIOR PARTNER"
19968,43703000,"SENIOR PARTNER"
20049,43703000,"SENIOR PARTNER"
20460,43703000,"SENIOR PARTNER"
19813,43703000,"SENIOR PARTNER"
19892,43703000,"SENIOR PARTNER"
20211,43703000,"SENIOR PARTNER"
19812,43703000,"SENIOR PARTNER"
19890,43703000,"SENIOR PARTNER"
20459,43703000,"SENIOR PARTNER"
20210,43703000,"SENIOR PARTNER"
19889,43703000,"SENIOR PARTNER"
19971,43703000,"SENIOR PARTNER"
20286,43704000,"JUNIOR PARTNER"
20539,43704000,"JUNIOR PARTNER"
20542,43704000,"JUNIOR PARTNER"
20285,43704000,"JUNIOR PARTNER"
20455,43704000,"JUNIOR PARTNER"
20454,43704000,"JUNIOR PARTNER"
20453,43704000,"JUNIOR PARTNER"
20451,43704000,"JUNIOR PARTNER"
20543,43704000,"JUNIOR PARTNER"
20284,43704000,"JUNIOR PARTNER"
20369,43704000,"JUNIOR PARTNER"
20203,43704000,"JUNIOR PARTNER"
20456,43704000,"JUNIOR PARTNER"
20540,43704000,"JUNIOR PARTNER"
20368,43704000,"JUNIOR PARTNER"
20452,43704000,"JUNIOR PARTNER"
20541,43704000,"JUNIOR PARTNER"
20366,43704000,"JUNIOR PARTNER"
20367,43704000,"JUNIOR PARTNER"
19810,43705000,"JUNIOR PARTNER"
19733,43705000,"JUNIOR PARTNER"
19888,43705000,"JUNIOR PARTNER"
19811,43705000,"JUNIOR PARTNER"
19732,43705000,"JUNIOR PARTNER"
19410,43803000,"JUNIOR PARTNER"
19403,45003000,NA
19447,45003000,NA
19448,45003000,NA
19492,45003000,NA
19493,45003000,NA
19539,45003000,NA
19540,45003000,NA
19592,45003000,NA
19593,45003000,NA
19594,45003000,NA
19655,45003000,NA
19657,45003000,NA
19728,45003000,NA
19729,45003000,NA
19730,45003000,NA
19805,45003000,NA
19806,45003000,NA
19658,45003020,"JUNIOR PARTNER"
19656,45003050,"JUNIOR PARTNER"
19807,45003050,"JUNIOR PARTNER"
19731,45003050,"JUNIOR PARTNER"
19496,45003070,"JUNIOR PARTNER"
19494,45003070,"JUNIOR PARTNER"
19543,45003070,"JUNIOR PARTNER"
19495,45003070,"JUNIOR PARTNER"
19544,45003070,"JUNIOR PARTNER"
19541,45003070,"JUNIOR PARTNER"
19542,45003070,"JUNIOR PARTNER"
19596,45003070,"JUNIOR PARTNER"
19595,45003080,"JUNIOR PARTNER"
19659,45003080,"JUNIOR PARTNER"
19407,45102000,"JUNIOR PARTNER"
19451,45102000,"JUNIOR PARTNER"
19450,45102000,"JUNIOR PARTNER"
19281,45105000,NA
19365,45105000,NA
19364,45105000,NA
19363,45105060,"SENIOR PARTNER"
19322,45105060,"SENIOR PARTNER"
19279,45105060,"SENIOR PARTNER"
