"","ID","x","y","tribeid","tribename"
"531",19605,-9.25,11.75,173,"DIALONKE"
"532",19606,-9.25,12.25,483,"MALINKE"
"533",19607,-9.25,12.75,373,"KITA"
"534",19608,-9.25,13.25,483,"MALINKE"
"535",19609,-9.25,13.75,327,"KAGORO"
"536",19610,-9.25,14.25,327,"KAGORO"
"537",19611,-9.25,14.75,717,"SONINKE"
"538",19612,-9.25,15.25,717,"SONINKE"
"539",19613,-9.25,15.75,717,"SONINKE"
"540",19614,-9.25,16.25,827,"ZENEGA"
"541",19615,-9.25,16.75,827,"ZENEGA"
"542",19616,-9.25,17.25,827,"ZENEGA"
"543",19617,-9.25,17.75,827,"ZENEGA"
